Country,Location,Activity,Fatal Y/N,Species
USA,"New Smyrna Beach, Volusia County",Swimming,N,
USA,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,N,Unknown
USA,"Isle of Palms, Charleston County",Swimming,N,Unknown
USA,"Isle of Palms, Charleston County",Boogie Boarding,N,Unknown
USA,"Islamorada, Monroe County",Jumped into the water,N,Possibly a 10' bull shark
USA,"Ponce Inlet, Volusia County",Surfing,N,Unknown
USA,"Imperial Beach, San Diego County",Surfing,N,Unknown
USA,"Malibu, Los Angeles County",Surf paddling,N,"White shark, 12'"
USA,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,N,White shark
USA,"Bellows Beach near Wailea Point, O’ahu",Snorkeling,N,
AUSTRALIA,Direction Island,Wading,N,"Bronze whaler shark, 1.5 m"
USA,"North Topsail Beach, Onslow  County",Swimming,N,2' to 3' shark
NORWAY,Sjøstrand,Scuba diving,N,"3' small spotted catshark, Scyliorhinus canicula"
USA,"Faria Beach, Ventura County",Swimming,N,Shark involvement not confirmed
USA,"Atlantic Beach, Carteret County",Wading,N,5' shark
BAHAMAS,Allan-Pensacola Cay,Spearfishing,N,"Bull shark, 5'"
USA,"Ponce Inlet, Volusia County",Surfing,N,Unknown
REUNION,Boucan Canot,Body boarding,N,2 m shark
USA,Marques Island,Removing hook from shark,N,"Lemon shark, 6' female"
USA,"Will Rogers State Beach, Los Angeles County",Swimming,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,4' shark
USA,"Silva's Channel, Mokuleia, O'ahu",Surfing,N,Tiger shark
USA,"Vilano Beach, St.  Johns County",Surfing,N,Shark involvement not confirmed
USA,"Turtle Beach, Siesta Key, Sarasota County",Swimming,N,3' to 4' shark
AUSTRALIA,"Shelly Beach, Crescent Head",Surfing,N,Unknown
USA,Garden City,Wading,N,Unknown
USA,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,N,A 10-year-old 94-pound pregnant blacktip reef shark
ENGLAND,Folkestone,Fishing,N,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length"
AUSTRALIA,"Warra Beach, Coral Bay",Wading,N,2.5 m shark
AUSTRALIA,Warrnambool,Surfing,N,10' shark
USA,"New Smyrna Beach, Volusia County",Surfing,N,4' to 5' shark
AUSTRALIA,Kingscliff Beach,Swimming,N,Shark involvement prior to death was not confirmed
USA,"Keawakapu Beach, Maui",Snorkeling,N,"Tiger shark, 14'"
USA,Naples,Swimming,N,6' to 8' shark
AUSTRALIA,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,N,"""a small shark"""
USA,"Hutchinson Island, St. Lucie County",Body boarding,N,blacktip or spinner shark
USA,"New Smyrna Beach, Volusia County",Surfing,N,3' to 4' shark
USA,"Florida Keys, Monroe County",Fishing,N,"Bull shark, 10'"
NEW CALEDONIA,Dumbéa,Surfing,N,Tiger shark
USA,"New Smyrna Beach, Volusia County",Playing on a sandbar,N,Unknown
USA,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,N,3' shark
USA,"Waveland Beach, Hutchinson Island, St. Lucie County",,N,Unknown
YEMEN,Ras-Alkalb,Murder,Y,Unknown
USA,Jupiter Inlet,Surfing,N,4' to 5' shark
AUSTRALIA,South Golden Beach,Surfing,N,1.5 m shark
USA,Delray Beach,Shark fishing,N,5' shark
AUSTRALIA,"Moore Park, north of Bundaberg",Swimming,N,2 to 2.5 m shark
USA,"Tiger Shores Beach, Martin County",Surfing,N,Unknown
NEW ZEALAND,Penhryn Island,Spearfishing,N,Tiger shark
AUSTRALIA,Shelly Beach,Boogie Boarding,N,Unknown
NEW CALEDONIA,Ouvéa,Spearfishing,N,Unknown
NEW CALEDONIA,Kaala-Gomen ,Spearfishing (free diving),N,Tiger shark
USA,100 miles off Ft. Myers Beach,Shrimping,N,14' shark
AUSTRALIA,Cape Howe,Diving,N,"White shark, 3m"
AUSTRALIA,Brunswick Heads,Swimming,N,Shark involvement prior to death was not confirmed
SOUTH AFRICA,"Second Beach, Port St. John's",Swimming / Body Surfing,Y,Tiger shark
AUSTRALIA,Sandbar Beach,Surfing,N,2.4 m shark
USA,"Smith Point, Long Island",Surfing,N,"24"" to 30"" shark"
USA,"Majors Bay, Kaua'i",Surfing,N,"6' to 8' shark, possibly a tiger shark"
FRENCH POLYNESIA,Rangiroa,Scuba Diving,N,Silvertip shark
AUSTRALIA,"Winki Pop, Bells Beach",Surfing,N,2.5 to 3 m shark
NEW ZEALAND,"Raglan, Manu Bay",Surfing,N,2 to 3 m shark
USA,"Dillon Beach, Marin County",Surfing,N,"White shark, 12' to 15'"
SOUTH AFRICA,Cape Vidal,Fishing,N,"Raggedtooth shark, 150-kg"
AUSTRALIA,Wharton Beach,Body boarding,N,"White shark, 5m"
PHILIPPINES,"Off Bilisan Point, Hinatuarn Island",Sea Disaster,Y,Unknown
USA,"Kihei, Maui",Swimming,N,2 m to 3 m shark
SOUTH AFRICA,"Nahoon, East London",Canoeing,N,"Bull shark, 1.5m"
USA,"Siletz River mouth, Lincoln County",Surfing,N,"White shark, 16'"
USA,Sebastian Inlet,Fishing,N,Unknown
USA,"Daytona Beach, Volusia County",Surfing,N,Unknown
USA,"Isla Blanca Park, South Padre Island",Surfing,N,1' to 4' shark
USA,"New Smyrna Beach, Volusia County",Playing soccer in the water,N,3' to 3.5' shark
BAHAMAS,Nassau,Free diving / modeling,N,Unknown
SOUTH AFRICA,Miller's Point,Spearfishing,N,Invalid
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"Off Key Largo, Monroe County",Diving / Kissing the shark,N,Nurse shark
USA,Onslow Beach,Surfing,N,Unknown
USA,"Singer Island, Riviera Beach",Swimming,N,Spinner shark
USA,"New Smyrna Beach, Volusia County",Surfing,N,5' shark
AUSTRALIA,Great Barrier Reef  ,Diving,N,No shark involvement
USA,"New Smyrna Beach, Volusia County",Standing,N,3' shark
USA,"New Smyrna Beach, Volusia County",Swimming,N,Unknown
SOUTH AFRICA,Noordhoek,Surfing,N,"White shark, 3.5m"
USA,"Florence, Lane County",Surfing,N,Unknown
AUSTRALIA,"Pennington Bay, Kangaroo Island",Surfing,N,"Bronze whaler shark, 6'"
REUNION,"Les Aigrettes, near Boucan-Canot",Body boarding,N,Unknown
BRAZIL,Pina,,N,Shark involvement prior to death was not confirmed
BELIZE,Near Ramon's Village,Spearfishing,N,Shark involvement prior to death was not confirmed
ITALY,Lampedusa Island,Sea Disaster,Y,Unknown
REUNION,Pointe du Diable,Surfing,Y,Unknown
SOUTH AFRICA,Danger Reef,Surfing,N,5 m shark
SOUTH AFRICA,"Sunrise Beach, Muizenberg",Lifesaving drill,N,White shark
USA,"Masonboro Island, New Hanover County",Wading,N,Unknown
REUNION,Le Port,Spearfishing,N,"Bull shark, 1.5m"
USA,"Newport Aquarium, Newport",Touching sharks,N,small catsharks
USA,Oswald State Park,Surfing,N,White shark?
USA,"Broad Beach, Malibu, Los Angeles County",Boogie Boarding,N,"Thought to involve a mako shark, but possibly a sea lion"
USA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,N,Unknown
SOUTH AFRICA,Fish Hoek,Surf-skiing,N,"White shark, 3m to 4m"
USA,"New Smyrna Beach, Volusia County",Surfing,N,
USA,"Sargent Beach, Matagorda County",Surf fishing,N,"Bull shark, 4' to 5'"
AUSTRALIA,Western Province,,N,Shark involvement prior to death was not confirmed
USA,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,N,"Angel shark, 1.2m"
SPAIN,San Juan Beach  ,Swimming,N,"Shark involvement not confirmed, injury may have been caused by a bluefish"
USA,"Kiawah Island, Charleston County",Swimming,N,Unknown
BRAZIL,Body recovered at Goiana,,Y,Bull or tiger shark
USA,"New Smyrna Beach, Volusia County",Wading,N,Unknown
USA,"Ponte Vedra Beach, St Johns County",Walking,N,Unknown
USA,"Debordieu Beach, Georgetown County",Body boarding,N,5' to 6' spinner or bull shark
USA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,N,Unknown
USA,"Florida Keys, Monroe County",Spearfishing,N,"1.8 m blacktip ""reef"" shark"
USA,"Florida Keys, Monroe County",Spearfishing,N,"1.8 m blacktip ""reef"" shark"
USA,"Hutchinson Island, St. Lucie County",Body boarding,N,Unknown
USA,Fort Myers,Fishing,N,Unknown
BAHAMAS,Mangrove Cay,Spearfishing,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,Possibly a 1' to 3' blacktip or spinner shark
BRAZIL,"Punta Del Chifre Beach, Olinda",Body boarding,Y,Unknown
USA,"Monterey, Monterey County",Scuba diving,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,2' to 3' shark
USA,"Coligny Beach, Hilton Head, Beaufort County",Playing,N,3' to 4' shark
AUSTRALIA,Waitpinga,Surfing,N,14' white shark
USA,O'ahu,Spearfishing,N,"Tiger shark, 8' to 12'"
USA,French Frigate Shoals,Tagging sharks,N,"Tiger shark, 15' female"
USA,"North Shore, O'ahu",Surfing,N,Unknown
USA,Lanai,Spearfishing,N,"Grey reef shark, 5' to 8'"
BRAZIL,"Boa Viagem Beach, Recife",Surfing,N,Unknown
USA,Gun Beach,Scuba diving,N,"Tiger shark, 10' to 12'"
USA,"Cocoa Beach, Brevard  County",,N,Unknown
USA,"Hutchinson Island, St. Lucie County",Swimming,N,Unknown
AUSTRALIA,"Moffat Beach, Caloundra",Snorkeling,N,"Wobbegong shark, 2 m"
USA,"Alligator Reef off Islamorada, Monroe County",,N,Invalid
USA,"Sebastian Inlet, Brevard County",Surfing,N,Unknown
USA,"Daytona Beach, Volusia County",Standing,N,Unknown
USA,"Port of the Islands, Collier County",Fishing,N,"Bull shark, 4' to bull shark"
AUSTRALIA,Newcastle Beach,Surfing,N,"Bronze whaler shark, a  juvenile"
SOUTH AFRICA,St. Francis Bay,Body boarding,N,"Raggedtooth shark, 2.5 m to 3 m"
BRAZIL,Piedade,Swimming,N,Tiger shark
USA,"Marco Island, Collier County",Wading,N,Unknown
Sierra Leone,"Lumely Beach, Freetown",Fishing,Y,"3 m, 600-kg shark"
USA,"Leftovers, near Waimea Bay, O'ahu",Surfing,N,"Tiger shark, 10'"
SOUTH AFRICA,Port Alfred,Swimming,N,Shark involvement prior to death was not confirmed
FIJI,Sigatoka,Surfing,N,"Tiger shark, 5'"
AUSTRALIA,"Bondi, Sydney",Surfing,N,"Bronze whaler shark, 2 m"
USA,"Makena, Maui",Standing,N,5' to 7' shark
USA,"Makena, Maui",Free diving,N,Invalid
AUSTRALIA,"Golden Beach, Caloundra",Wading,N,Unknown
AUSTRALIA,"Point Vernon, Hervey Bay",Swimming,N,Unknown
AUSTRALIA,"Brighton Beach, Adelaide",Fishing,N,4.5 m white shark
SOUTH AFRICA,"Nahoon, East London",Surfing,N,Raggedtooth shark
TONGA,Tu’anuku,Swimming,Y,Tiger shark
USA,"Off Pu'u Ola'l, Makena, Maui",Kayaking,N,12' to 18' shark
SOUTH AFRICA,Coffee Bay,Spearfishing,N,Unknown
USA,"Santa Cruz, Santa Cruz County",Night Surfing,N,Unknown
AUSTRALIA,"Off City Beach, Perth",Scuba diving,N,3.5 m white shark
BAHAMAS,Sandy Cay,Diving for lobsters,N,Invalid
AUSTRALIA,"Amity Point, North Stradbroke Island",Swimming,Y,Bull shark
USA,"Round Island Park, Indian River County",Surfing,N,4' shark
SOUTH AFRICA,Soetwater,Diving for crayfish,N,Said to involve a 1.5 m shark
USA,"Tillamook Head, Clatsop County",Surfing,N,White shark
USA,"Keawakapu Beach, Maui",Swimming,N,Tiger shark
AUSTRALIA,St. Crispin Reef,Spearfishing,N,Whitetip reef shark
AUSTRALIA,"Middle Beach, 40 km north of Adelaide",Fishing,N,4 m white shark
USA,"Cape San Blas, Gulf County",Surfing,N,Unknown
USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,4' shark
AUSTRALIA,"6 km off Collendina, south of Melbourne",Fishing,N,3 m white shark
AUSTRALIA,Flinders,Surfing,N,1.8 m shark
SOUTH AFRICA,"Nahoon, East London",Surfing,N,Unknown
NEW CALEDONIA,Maré,Spearfishing,N,Unknown
USA,"Jensen Beach, Martin County ",Surfing,N,4' shark
USA,"New Smyrna  Beach, Volusia County",Surfing,N,Unknown
SOUTH AFRICA,Aston Bay,Fishing for sharks,N,"Raggedtooth shark, 2.5m"
USA,"New Smyrna  Beach, Volusia County",Surfing,N,6' shark
USA,"Mavericks, Half Moon Bay, San Mateo County",Surfing,N,Unknown
USA,"Ocean Beach, San Francisco, San Francisco County",Surfing,N,12' to 14' white shark
USA,"Ponce de Leon Inlet, Volusia County ",Wading,N,2' to 3' shark
ST. MAARTIN,Sunterra Beach,Standing,N,2' shark
SOUTH AFRICA,Uilenkraalsmond (near Gansbaai),Standing / Surfing,N,3 m shark
USA,"Klamath River mouth, Del Norte County",Surfing,N,White shark
USA,"Salmon Beach, Sonoma County",Surfing,N,18' white shark
USA,"Ponce Inlet, Volusia County",Wading,N,Unknown
USA,"Honokowai, Maui",Surfing,N,"Tiger shark, less than 10'"
GRAND CAYMAN,Jack McKenney's Canyon,Scuba diving,N,Caribbean reef sharks
USA,"Ponce Inlet, Volusia County",Treading water/ Surfing,N,Unknown
BAHAMAS,Grand Cay,Diving,N,Unknown
SOUTH AFRICA,"Sunny Cove, Fish Hoek",Surf-skiing,N,White shark
AUSTRALIA,Arakoon's Little Bay,Surfing,N,"Tiger shark, 3 m"
AUSTRALIA,Kangaroo Island,Surfing,N,14' to 16' white shark
AUSTRALIA,"Scarborough Beach, Perth",Surfing,N,Bronze whaler shark
USA,"Tigertail Beach, Collier County",Surfing,N,Shark involvement not confirmed
USA,"Myrtle Beach, Horry County",Body surfing,N,3' to 4' shark
USA,Folly Beach,Surfing,Y,Unknown
AUSTRALIA,"Park Beach, Coff's Harbour",Standing,N,Unknown
USA,"North Topsail Beach, Onslow County",Wading,N,Bull shark
AUSTRALIA,"Fishery Bay, Eyre Peninsula",Surfing,N,4 m [13'] white shark
USA,"Ponce Inlet, Volusia County",Standing / Surfing,N,Unknown
THAILAND,On deck of fishing trawler 100 nautical miles offshore,Removing shark from net,Y,"2 m [6.75'] shark, 200-kg shark T"
AUSTRALIA,Glenelg ,Scuba diving,Y,White shark
USA,"Scripps, LaJolla, San Diego County",Surfing,N,juvenile white shark
USA,"6th Avenue North, Myrtle Beach, Horry County","Boogie boarding, kicked at object in the water",N,Shark involvement not confirmed
USA,"34th Avenue North, Myrtle Beach, Horry County",Swimming,N,Possibly a sandbar shark or small blacktip shark
USA,Crystal Beach (east of Galveston),Walking,N,Unknown
SOUTH AFRICA,"Milnerton Lagoon, Cape Town",,N,Shark involvement prior to death was not confirmed
USA,"Carolina Beach off Texas Avenue, New Hanover County",Surfing,N,1.8 m [6'] shark
USA,"Isle of Palms, Charleston County",Swimming,N,Unknown
Seychelles,Off North Island,Fishing,N,Invalid
USA,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,N,Unknown
USA,"Ormond Beach, Volusia County",Surfing,N,Unknown
USA,"Quarter mile south of Ponce de Leon Inlet, Volusia County",Surfing,N,Shark involvement not confirmed
CHINA,"Ocean World, Changfeng Park",Scuba diving in aquarium tank,N,3.5 m [11.5']shark
USA,"Holden Beach, Brunswick County",Swimming,N,[4.5' to 5'] shark
USA,"Port Bolivar, Galveston County",Holding onto an inflatable boat,N,[4' to 5']
USA,"Boca Grande, Lee County",Standing,N,Unknown
USA,"Cape San Blas, Gulf County",Fishing,N,Bull shark
USA,"Destin, Walton County",Swimming with boogie board,Y,1.8 m [6'] bull shark
VANUATU,Atchin Island off Malakula,Swimming,Y,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
MEXICO ,San Luis beach,Surfing,N,Unknown
USA,Maui,Swimming,N,Invalid
USA,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,N,"Unknown, but it was reported that a shark tooth was recovered from the wound"
SOUTH KOREA,Dando/Kaeui Island ,Diving,N,3 m [10'] white shark
USA,"Kiawah Island, Charleston County",Boogie boarding,N,Unknown
USA,"Surf City, Long Beach Island, Ocean County",Surfing,N,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident"
SOUTH AFRICA,Miller's Point,Spearfishing (Free diving),Y,White shark
USA,"Mustang Island, Corpus Christi",Wading,N,Unknown
USA,Daytona Beach Shores,Swimming,N,"""small shark"""
USA,"Sand Key Beach, Clearwater, Pinellas County",Crouching in 2' of water,N,"18"" to 36"" shark"
SOUTH AFRICA,Kei River Mouth,Surfing,N,Raggedtooth shark
AUSTRALIA,50 km east of Townsville,Spearfishing,N,Blacktip shark
USA,"North Kihei, Maui",Kayaking,N,"Tiger shark, 8' to 9'"
USA,Off Sullivans Island,Sea Disaster,N,Unknown
USA,"Noreiga's, Maui",Surfing,N,"Tiger shark, 3 m [10']"
AUSTRALIA,Bermagui,Fishing,N,"Mako shark, 1.5 m [5']"
AUSTRALIA,Crookhaven,,N,Unknown
AUSTRALIA,Bremer Island,Spearfishing,N,2 m [6.75'] copper shark
AUSTRALIA,Bronte Beach,Surfing,N,Bronze whaler shark
USA,"Crescent Beach, Sarasota County",Wading,N,1.8 m [6'] blacktip shark
USA,"Central Gulf Coast, St. John County",Surfing,N,Shark involvement not confirmed
USA,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,N,Unknown
USA,"Jacksonville Beach, Duval County",,N,small hammerhead shark
HONDURAS,Utila,SCUBA Diving,N,Shark involvement not confirmed
SOUTH AFRICA,Noordhoek,Surfing,N,4 m [13'] shark
VENEZUELA,Punta Caracas,Surfing,N,Unknown
AUSTRALIA,"Wreck Point, Abrolhos Islands",Snorkeling,Y,6 m [20'] white shark
USA,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,N,"Sandtiger shark, 2.1 m [7']"
SOUTH AFRICA,Isipingo,,N,Invalid
NEW ZEALAND,"Waiapu River mouth , East Cape",Fishing,N,"Bronze whaler shark, 4.3 m [14']"
AUSTRALIA,Brisbane River,Swimming,N,Bull shark
USA,"Long Key, Monroe County",Spearfishing,N,"Nurse shark, 3'"
USA,"Rocky Point, north shore of O'ahu",Surfing,N,"Tiger shark, 2.4 m [8']"
USA,Fort Lauderdale,Spearfishing,N,1.8 m [6'] Caribbean reef shark
BRAZIL,Ilhéus,Surfing,N,Unknown
CUBA,Uvero,Swimming,N,3 m [10'] shark
AUSTRALIA,Port Phillip Bay,Spearfishing,N,3 m shark
AUSTRALIA,Blairgowrie,Attempting to drive shark away from sailing regatta,N,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']"
NEW ZEALAND,Taupiri Bay,Fishing from a kayak,N,White shark
SRI LANKA,Pasikudha,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",N,No shark involvement
AUSTRALIA,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),Y,4.5 m & 5 m white shark
AUSTRALIA,Opal Reef,Spearfishing,Y,Bull shark
SOUTH AFRICA,"Nahoon, East London",Surfing,N,Raggedtooth shark
SOUTH AFRICA,Gonubie,Playing,N,Raggedtooth shark
SOUTH AFRICA,"Fish Hoek, False Bay",Swimming,Y,6 m [20'] white shark
USA,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,N,5.5 m [18'] white shark
VANUATU,Malakula (Malakula Island),Snorkeling,N,Unknown
NEW CALEDONIA,Koumac,Diving,N,3 m shark
CUBA,Santa Lucia,Diving,N,2.5 m [8.25'] bull shark
NEW ZEALAND,Whangarei,,N,Invalid
SOUTH AFRICA,Gansbaai,Chumming for white sharks,N,2 m [6.75'] white shark
AUSTRALIA,Stockton Beach,Surfing,N,"Bronze whaler shark, 2.4 m [8']"
USA,"Limantour Beach, Point Reyes National Seashore",Surfing,N,1.8 m to 2.4 m [6' to 8'] white shark
USA,Moloka'i,Spearfishing,N,"Tiger shark, 2.4 m to 3.7 m [8' to 12']"
SOUTH AFRICA,Jeffrey’s Bay,Surfing,N,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
REUNION,"P' tit Paris, Saint-Pierre",Body boarding,N,Thought to involve a 2.5 m bull or tiger shark
USA,"Pismo Beach, San Luis Obispo County",Surfing,N,Unknown
USA,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,N,Unknown
AUSTRALIA,Batt Reef,Spearfishing/ filming,N,"Tiger shark, 3 m [10']"
USA,Gold  Beach,Surfing,N,White shark
USA,South Padre Island,Surf fishing,N,Shark involvement questionable
BRAZIL,"Pina, Recife",Swimming,Y,Unknown
USA,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,N,2.4 m [8'] shark
USA,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,N,Unknown
BRAZIL,"Boa Viagem Beach, Recife",Bathing,N,"Tiger shark, 1.5 m"
USA,"204s, San Clemente, Orange County",Surfing,N,0.9 m to 1.2 m [3' to 4'] white shark
USA,"Kibesillah, Mendocino County",Diving,Y,4.9 m to 5.5 m [16' to 18'] white shark
USA,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,N,1.2 m [4'] shark
AUSTRALIA,Byron Bay,Spearfishing,N,Unknown
SOUTH AFRICA,Park Rynie,Fishing,N,3 m to 4 m [10' to 13']  white shark
USA,"Cocoa  Beach, Brevard County",Surfing,N,Unknown
RUSSIA,"Kunashir Island, 70 km from northern Japan",Diving & fishing with net,N,White shark
USA,"Rodanthe, Dare County",Surfing,N,Unknown
USA,"Carolina Beach, New Hanover County",Swimming,N,1.8 m [6'] shark
USA,Galveston Island,Swimming,N,1.2 m to 1.5 m [4' to 5'] shark
USA,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,N,Bull shark
AUSTRALIA,"7 km off Trigg surf beach, Perth",Fishing,N,4 m [13'] white shark
JAPAN,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,N,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb]"
AUSTRALIA,"Lefthanders Beach, Margaret River",Surfing,Y,"2 sharks, 4.5 m & 3 m"
EGYPT,The lagoon at Dahab,Snorkeling,N,"""black tipped"" shark"
USA,"Gulf Shores Beach, Baldwin County",Wading,N,4' to 5' shark
USA,"San Onofre State Beach, San Diego County",Surfing,N,"9'2"" white shark"
AUSTRALIA,Floreat Beach,Crayfishing,N,Invalid
USA,"Disney / Vero Beach, Indian River County",In water with diving seabirds,N,Unknown
AUSTRALIA,Bunbury,Body boarding,N,"Bronze whaler shark, 2.5 m [8.25']"
USA,"Daytona Beach Shores, Volusia County",Swimming,N,1.2 m [4'] shark
SOUTH AFRICA,Dyer Island,"Swimming, poaching perlemoen",Y,White shark
USA,"Pirate's Beach, Galveston Island",Wading,N,0.9 m to 1.5 m [3' to 5'] shark
BRAZIL,Piedade Beach,Swimming,N,Bull shark
USA,"Salmon Creek, Sonoma County",Surfing,N,2.4 m to 3.7 m [8' to 12'] shark
USA,"St. Augustine, St. John's County",Boogie-boarding / swimming,N,Unknown
USA,St. Augustine  St. Johns County,Swimming,N,Shark involvement not confirmed
USA,"Jacksonville Beach, Duval County",,N,Unknown
BRAZIL,"Piedade Beach, Recife",Wading,N,Unknown
BAHAMAS,Green Turtle Cay,Free diving & spearfishing,N,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
USA,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,N,"Mako shark, 1.8 m [6']"
BRAZIL,Piedade ,Swimming,Y,Unknown
AUSTRALIA,"Latitude Reef, near Forster",Diving,N,"Wobbegong shark, 1.2 m [4'] k"
NEW ZEALAND,Motunui,Fishing,N,"White shark, 5.5 m [18']"
 TONGA,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,Y,small sharks
 TONGA,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,Y,Questionable Incident
USA,"Kahana Beach, Maui",Surfing,Y,Tiger shark
SOUTH AFRICA,"Surfers' Corner, Muizenberg, False Bay",Surfing,N,5 m [16.5'] white shark
USA,Velzyland,Surfing,N,Shark involvement prior to death was not confirmed
USA,"Ocean Reef Park, Singer Island, Palm Beach County",,N,Unknown
USA,"Stuart Rocks, Martin County",Surfing,N,1.2 m [4'] bull shark
BRAZIL,Piedade Beach,Body boarding,N,bull shark
USA,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,N,bull shark
REUNION,Spot de la gare,Surfing,N,2.5 m shark
USA,"Sanibel Island, Lee County",Swimming,N,Unknown
USA,Punaluu,Snorkeling,N,1.8 m [6'] shark
NEW ZEALAND,Te Arai Point,Spearfishing,N,Bronze whaler shark
USA,"Kalihiwai Beach, Kauai",Surfing,N,"Tiger shark, 2.4 m to 3 m [8' to 10']"
AUSTRALIA,5 nm off Cervantes,Spearfishing,N,"Bronze whaler shark, 1.5 m [5']"
BRAZIL,"Piedade Beach, Recife",Swimming,Y,Unknown
NEW ZEALAND,South Beach,Surfing,N,2 m [6.75'] sevengill  shark
AUSTRALIA,"Taree, Old Bar Beach",Swimming,N,Unknown
AUSTRALIA,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Free diving & spearfishing,N,Shark involvement not confirmed
EGYPT,"Coral Bay, Sharm-el-Sheikh",Snorkeling,Y,Unknown
AUSTRALIA,Caves Beach,Snorkeling,N,"60 cm [23.6""] blind or brown shark"
AUSTRALIA,Binningup,Scuba diving,N,4 m to 5 m [13' to 16.5'] white shark
URUGUAY,Ensenada de la Coronilla,Surfing,N,Possibily a  1.5 to 2 m sandtiger shark
NEW ZEALAND,90 Mile Beach,Boogie boarding,N,Shark involvement doubtful
VENEZUELA,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,N,"Bull shark, 1.65 m [5'5""] was speared & killed"
VENEZUELA,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,N,"Bull shark, 132-kg [291-lb]"
SOUTH AFRICA,Ballito,Surf skiing,N,"Mako shark, 3 m to 4 m [10' to 13']"
AUSTRALIA,Bushrangers Pass at Bass Point,Diving,N,"Raggedtooth shark, 3.5 m [11.5']"
SOUTH AFRICA,"West Beach, Port Alfred",Surfing,N,Raggedtooth shark
NEW ZEALAND,"Whiritoa, Eastern Cormandel",Kayaking (returning from spearfishing),N,Invalid
EGYPT,Off Sharm El-Sheikh,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,Y,Unknown
AUSTRALIA,Redgate Beach,Surfing,N,Unknown
SOUTH AFRICA,Salt Rock ,,N,Shortfin mako shark
USA,"Miami, Dade County",Swimming,N,Questionable Incident
USA,"Melbourne Beach, Brevard County",Swimming,N,Unknown
NEW ZEALAND,Pukapuka Northern Group,Swimming / shipwreck,Y,Unknown
AUSTRALIA,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,N,Unknown
AUSTRALIA,Perth? (Margaret River District),Swimming,N,"Wobbegong shark, 1.2 m [4']"
AUSTRALIA,Perth? (Margaret River District),Swimming,N,"Wobbegong shark, 1.2 m [4']"
SOUTH AFRICA,Sodwana,Spearfishing,Y,"Tiger shark, 4 m [13']  ?"
USA,"Daytona Beach, Volusia County",Surfing,N,4' shark
INDIA,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,N,Tiger shark?
USA,"South Jetty, New Smyrna Beach, Volusia County",Surfing,N,Unknown
EGYPT,"Sha’ab Mahmud, Ras Mohamed Park",Snorkeling,N,2.5 oceanic whitetip shark
