Country,Location,Activity,Fatal Y/N,Species
NEW ZEALAND,Cape Pallister,Free diving,N,White shark
EGYPT,Fury Shoal,Scuba diving,N,Oceanic whitetip shark
AUSTRALIA,Streaky Bay,Surfing,Y,"White Shark, 4.5 m"
USA,"Pua’ena Point,  Haleiwa, Oahu",Surfing,N,8' tiger shark
Mexico,Banco Chinchorro Biosphere Reserve,Fishing,N,Unknown
AUSTRALIA,"Alexander Bay, Esperance",Fishing,N,"Bronze whaler, 6'"
BELIZE,"San Pedro , Ambergris Caye",Snorkeling,N,"Nurse shark, 5' to 6'"
USA,"Hanalei Bay, Kauai",Surfing,N,10' tiger shark
USA,"Linda Mar, Pacific State Beach, San Mateo County",Surfing,N,Unknown
USA,"Paia, Maui",Surfing,N,10' to 12' Galapagos shark
AUSTRALIA,Beachport,Swimming,N,Unknown
USA,"Wildcat Beach, Marin County",Swimming,Y,Unknown
USA,"Myrtle Beach, Horry County",Swimming,N,Unknown
EGYPT,Dahab,Swimming,N,Tiger shark?
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"Satellite Beach, Brevard County",Surfing,N,Unknown
PHILIPPINES,"Pangasinan, Ilocos Norte, Luzon Island",Fishing,M,Unknown
USA,"Ponce Inlet, Volusia County",Surfing,N,Unknown
USA,"Ponce Inlet, Volusia County",Wading,N,Unknown
AUSTRALIA,"Lighthouse Beach, Port Macquarie ",Surfing,N,"White shark, 3.8-4.2m"
USA,"Oak Island, Brunswick County",Wading,N,Unknown
USA,"Pebble Beach, San Mateo County",Kayak fishing,N,Unknown
BAHAMAS,"Saunders Beach, Nassau",,N,Unknown
SPAIN,Rabdells Beach,Wading,N,Blue shark
PORTUGAL, 9 nm off Vila do Conde ,Fishing,N,Blue shark
SAMOA,Lano,Towing a dead whale out to sea,Y,Unknown
USA,Rockaway,Wading,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"Anna Maria Island, Manatee County",Spearfishing,N,Unknown
USA,Tampa Bay,Swimming,N,Unknown
AUSTRALIA,Gnarabup Beach ,Surfing,N,Wfite shark
AUSTRALIA,Yallingup Lagoon,Snorkeling,N,Wobbegong shark
USA,"Sea Pines Beach, Hilton Head Island, Beaufort County",Boogie boarding,N,8' shark
COLOMBIA,Nirvana,Freediving,N,Oceanic whitetip shark
USA,New Smyrna Beach,Sitting,N,Unknown
USA,New Smyrna Beach,Surfing,N,Unknown
SOUTH AFRICA,Chinta East ,Watching the sardine run,N,Unknown
ECUADOR,Mosquera Islet,Snorkeling,N,Unknown
USA,"Cherry Grove, Suffolk County",Standing,N,4' shark
USA,"Fire Island Pines, Suffolk County",Swimming,N,3' shark
USA,"Quogue Village Beach, Suffolk County",Swimming,N,Unknown
USA,"Kismet Beach, Suffolk County",Surfing,N,Unknown
USA,"Beach 3, Robert Moses State Park, Suffolk County",Swimming,N,Sand tiger shark
USA,"Cocoa Beach, Brevard County",Swimming,N,Unknown
USA,"Flamingo Marina, Homestead, Miami-Dade County",Fishing,N,Unknown
USA,Laysan,Filming,N,Tiger sharks
EGYPT,"Dream Beach, Hurguda",Swimming,Y,"Tiger shark, 13'"
BAHAMAS,Shark Junction,Scuba diving,N,Caribbean rreef shark
FRENCH POLYNESIA,"Matavai Bay, Arue, Papetee",Kite surfing,N,"Grey reef shark, 2 m"
NEW CALEDONIA,Twagne,Spearfishing,Y,Unknown
TURKS and CaICOS,Grace Bay Beach,Snorkeling,N,Caribbean reef shark
BAHAMAS,Athol Island,Jumped overboard,Y,Shark involvement not confirmes
USA,Sea Quest Aquarium Layton Davis County,Shark Feeding,N,"18"" - 23"" Horn shark"
USA,"Stone Harbor, Cape May County",Surfing,N,Unknown
USA,"Flagship Drive, Summerland Key, Monroe County",Fishing,N,Unknown
USA,"Marathon, Monroe County",Spearfishing,N,Unknown
