Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
SOUTH AFRICA,Papiesfontein,Fishing,N,Raggedtooth shark,-33.9633931,24.9562381
USA,"Baby Beach, Maui",Surfing,Y,Unknown,20.8823591,-156.6877451
MEXICO,"Tojahui Beach, Yavaros, Huatabampo",Free diving,Y,White shark,26.8261,-109.6422
AUSTRALIA,Ethel Beach,Surfing,Y,"White shark, 13'",-10.4634756,105.7074432
AUSTRALIA,Old Bar,Surfing,N,Unknown,-31.9526029,152.5551274
AUSTRALIA,Wedge Island,Foil Boarding,N,Broze whaler?,-43.1352285,147.6722074
NEW ZEALAND,Riverton,Wading,N,Sevengill shark,-46.3509977,168.0202689
MEXICO,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,Y,Shark involment not confirmed,17.6796585,-101.6445091
AUSTRALIA,1770 ,Snorkeling,N,Unknown,-25.0,135.0
BAHAMAS,Sandals Resort,Paddle boarding,Y,Unknown,25.0770578,-77.4102421
MEXICO,San Patricio Melaque,Swimming,Y,Unknown,19.2231994,-104.7046088
AUSTRALIA,Clack Island,Swimming,N,1.8m bull shark,-14.06549,144.26335
BAHAMAS,Tiger Beach,Scuba diving,Y,Unknown,25.04082,-77.37122
AUSTRALIA,Port Noarlunga,Free diving,N,Unknown,-35.1500622,138.4698986
USA,"Juno Beach, Palm Beach County",Swimming,N,Unknown,26.8815475,-80.0539253
AUSTRALIA,Peak Island,Spearfishing,N,Lemon shark,-21.6016071,114.5091892
NEW ZEALAND,Cape Pallister,Free diving,N,White shark,-42.0,174.0
EGYPT,Fury Shoal,Scuba diving,N,Oceanic whitetip shark,24.1992641,35.6515333
AUSTRALIA,Streaky Bay,Surfing,Y,"White Shark, 4.5 m",-32.7380424,134.6157973
Mexico,Banco Chinchorro Biosphere Reserve,Fishing,N,Unknown,17.21697,-94.32046
AUSTRALIA,"Alexander Bay, Esperance",Fishing,N,"Bronze whaler, 6'",-33.8913551,122.7908335
BELIZE,"San Pedro , Ambergris Caye",Snorkeling,N,"Nurse shark, 5' to 6'",17.93954,-87.94702
USA,"Hanalei Bay, Kauai",Surfing,N,10' tiger shark,22.20889,-159.50709
USA,"Linda Mar, Pacific State Beach, San Mateo County",Surfing,N,Unknown,37.43621,-122.35566
USA,"Paia, Maui",Surfing,N,10' to 12' Galapagos shark,20.90333,-156.36944
AUSTRALIA,Beachport,Swimming,N,Unknown,-37.4818511,140.0106789
USA,"Wildcat Beach, Marin County",Swimming,Y,Unknown,37.9653927,-122.7895068
USA,"Myrtle Beach, Horry County",Swimming,N,Unknown,33.6956461,-78.8900409
EGYPT,Dahab,Swimming,N,Tiger shark?,28.4963633,34.5145652
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown,29.0258132,-80.9271271
USA,"Satellite Beach, Brevard County",Surfing,N,Unknown,28.1760051,-80.5904623
