Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
MEXICO,"Los Arbolitos, Cabo Pulmo",Snorkeling,Y,Unknown,23.43718,-109.42924
USA,"Sunset Beach, Orange County",Surfing,N,Shark involvement highly doubtful,33.7180624,-118.0709647
SOUTH AFRICA,"Keurbooms, Plettenberg Bay",Surfing,N,Unknown,-34.05274,23.3716
REUNION,Pointe au Sal,Body boarding,Y,Unknown,-21.10084,55.60344
NEW ZEALAND,"Porpoise Bay, Catlins",Body boarding,N,Unknown,-42.0,174.0
USA,Georgetown County,Swimming,N,Shark involvement not confirmed,33.4392245,-79.3343041
AUSTRALIA,Kelpies near Wylie Bay,Surfing,Y,White shark,-33.83234,121.9909
USA,"Kekaha Beach, Kauai",Surfing,N,"Tiger shark, 12'",21.9746981,-159.7424363
USA,St. Augustine,Surfing,N,Unknown,29.8946952,-81.3145395
SOUTH AFRICA,Protea Banks,Scuba Diving,N,Shark involvement prior to death not confirmed,-30.83333,30.48333
USA,"Ormond Beach, Volusia County",Surfing,N,Unknown,29.2854132,-81.0557921
USA,"Daytona, Volusia County",Swimming,N,Unknown,29.2108147,-81.0228331
AUSTRALIA,Moreton Bay,Kakaying,N,Unknown,-27.2397819,153.2539994
USA,"Destin, Okaloosa County",Swimming,N,"Bull shark, 5' to 7'",30.3935337,-86.4957834
AUSTRALIA,The Farm,Body boarding,N,Unknown,-35.3114647,149.0782606
USA,Monterey Bay,Kayaking,N,White shark,36.7999557,-121.9010668
PHILIPPINES,"Villamar, Caoayan",Spearfishing,N,10' shark,17.526286,120.3839323
BAHAMAS,Great Exuma,Washing hands,N,Lemon shark,23.5654057,-75.8804451
MEXICO,"Playa Baghdad, Matamoros",Fishing,N,Unknown,25.87972,-97.50417
AUSTRALIA,Mauds Point,Snorkeling,N,"Bull shark, 1.5",-35.6024704,139.0761726
AUSTRALIA,"Falcon Bay Beach, Mandurah",Surfing,N,Unknown,-32.5805615,115.651911
AUSTRALIA,Eva Rock,Spearfishing,N,Unknown,-25.0,135.0
BRAZIL,Fernando de Noronha Marine Park,Grabbing shark for a selfie,N,Lemon shark pup,-10.0,-55.0
SOUTH AFRICA,Eastmoor Crescent Beach,Fishing,N,Tiger shark,-29.0,24.0
USA,16 miles off Hilton Head,Fishing,N,"White shark, female, 14'",32.21632,-80.75261
USA,Southern USA,Not stated,N,Unknown,29.9455314,-95.327115
BRAZIL,"Boa Viagem, Recife",Swimming,N,Unknown,-8.1235027,-34.9033955
AUSTRALIA,"Boot Reef, Torres Strait",Scuba Diving,N,"Bull shark, 4 m",-25.0,135.0
AUSTRALIA,Clairview,Swimming,N,Unknown,-22.055728,149.4697255
USA,Jensen Beach,,N,Unknown,27.25449,-80.22977
USA,"Blockhouse Beach, Brevard County",Wading,N,Unknown,28.30031,-80.70121
AUSTRALIA,Merimbula,Wading,N,Shark involvement not confirmed,-36.8882027,149.909846
USA,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,N,Unknown,27.55698,-80.32477
AUSTRALIA,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,N,a small shark,-25.0,135.0
SOUTH AFRICA,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,N,"White shark, 4 m",-34.05274,23.3716
AUSTRALIA,Trigg Beach,Free diving,N,Unknown,-31.8773458,115.7515833
FRENCH POLYNESIA,Takapoto Atoll,Fishing,N,Unknown,-15.0,-140.0
AUSTRALIA,Booti Booti National Park,Surfing,N,White shark,-32.2818,152.5179
AUSTRALIA,Queenscliff,Fishing,N,"Broadnose sevengill shark, 1.5 m",-33.7823916,151.2854011
Mozambique,Chicuque Beac Maxixe City,Body Recovery,F,Unknown,-23.85972,35.34722
USA,"Kamaole Beach Park I, Maui",Floating,N,Tiger shark,20.721331,-156.4474007
USA,"Mayport Naval Station Beach, Duval County",Surfing,N,Unknown,30.33544,-81.64801
USA,Mayport Naval Station  Duval County,Surfing,N,Unknown,30.3842525,-81.4153403
AUSTRALIA,Broken Head Beach,Surfing,N,Unknown,-28.7017058,153.613847
USA,"Hooipa Beach Park, Maui",Surfing,N,6' to 8' shark,20.86774,-156.61706
AUSTRALIA,"Kings Beach, Caloundra",Surfing,N,Unknown,-26.8046321,153.1408585
USA,"Charlie Young Beach, Kihei, Maui",Snorkeling,N,Unknown,20.75548,-156.45446
MEXICO,Guadalupe Island,Cage Diving,N,White shark,23.0,-102.0
USA,"Indian Beach, Ecola State Park, Clatsop County",Surfing,N,Unknown,45.92289,-123.96903
AUSTRALIA,"Lighthouse Beach, Ballina",Surfing,N,"White shark, 3.5 m",-28.8715325,153.5904134
USA,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,N,Unknown,40.80207,-124.16367
AUSTRALIA,Thirteenth Beach,Surfing,N,Unknown,-38.280658,144.4359026
AUSTRALIA,Bells Beach,Surfing,N,2 m shark,-38.376708,144.2519506
AUSTRALIA,Bunbury,Fishing,N,Unknown,-33.3267797,115.636698
USA,"Ponte Vedra, St. Johns County",Wading,N,3' to 4' shark,30.2274645,-81.3800824
USA,"Makaha, Oahu",Swimming,N,"Tiger shark, 10'",38.882352,-105.937359
NEW CALEDONIA,Koumac,Kite surfing,Y,Unknown,-20.5613596,164.2811715
USA,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,N,Unknown,33.7673834,-78.7778153
AUSTRALIA,Injidup ,Surfing,N,Unknown,-33.6973823,114.9897268
USA,"Refugio State Beach, Santa Barbara County",Spearfishing,N,"White shark, 8' to 10'",34.46221,-120.07237
REUNION,Boucan Canot,Surfing,N,"Bull shark, 3.5 m",-21.0309795,55.2265631
BAHAMAS,Nassau,Snorkeling,N,Unknown,25.0782266,-77.3383438
SPAIN,Arenales del Sol,Swimming,N,Blue shark,38.2530418,-0.5197253
AUSTRALIA,Near Albany,,N,White shark,-27.3450847,152.9663832
JAPAN,Irino Beach,Surfing,N,Unknown,35.68536,139.75309
AUSTRALIA,Clifton Beach,Surfing,N,Unknown,-42.9899255,147.5234993
BAHAMAS,Green Turtle Cay,Spearfishing,N,"Bull shark, 6'",26.8646479,-77.2799047
AUSTRALIA,"20 k off The Spit, off the Gold Coast",Fishing,N,"reef shark, 1m",-28.00029,153.43088
USA,8 miles off Mobile,Fishing,N,"Tiger shark, 10'",30.69436,-88.04305
USA,"Surfside, Orange County",Kite surfing,N,"White shark, 10' to 12'",33.7277995,-118.0823511
USA,"North Myrtle Beach, Horry County",Swimming,N,Unknown,33.8278405,-78.6800323
SPAIN,"Las Teresitas, Tenerife",Wading,N,Angel shark,28.5101939,-16.1838422
USA,"Capitola, Santa Cruz County",Fishing ,N,White shark,36.9762927,-121.954057
USA,"Off Gloucester, Essec County",Fishing,N,dogfish shark,37.368876,-82.549571
USA,"Off Palos Verdes peninsula, Los Angeles County",Fishing ,N,White shark,33.76688,-118.3806
AUSTRALIA,Palm Cove ,Fishing,N,Tawny nurse shark,-16.747201,145.668545
USA,Sullivan's Island,,N,3' to 4' shark,32.770151,-79.8313355
USA,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,N,Unknown,34.6554746,-77.058082
SOUTH AFRICA,Ryspunt,Spearfishing,N,White shark,-34.60931,20.32919
USA,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,N,Unknown,28.1681896,-80.587898
USA,"Kalapaki Beach, Kauai",Surfing,N,3' to 4' shark,21.9602293,-159.3517224
AUSTRALIA,Coral Bay,Spearfishing,N,5' shark,-23.1436752,113.770165
USA,"Pirates Beach, Galveston",Floating in tube,N,3' to 4' shark,29.2011868,-94.9382557
USA,"Flagler Beach, Flagler County",Swimming,N,Unknown,29.4749927,-81.1269982
AUSTRALIA,Mindarie,Diving,Y,3+ m shark,-31.6897332,115.7091824
EGYPT,Ain Sokhna,Swimming,N,Mako shark,29.6396099,32.3057406
AUSTRALIA,Kingscliff,Spearfishing,N,Bronze whaler sharks x 3,-28.2566667,153.5761111
NEW CALEDONIA," Côte-Blanche, Nouméa ",Kite surfing,N,3 m shark,-22.310142,166.4582078
AUSTRALIA,"Falcon Beach, Mandurah",Surfing,Y,White shark,-32.5805615,115.651911
USA,"Corona Del Mar, Newport, Orange County",Swimming,N,Unknown,33.5995916,-117.873739
USA,"Neptune, Duval County",Swimming,N,5' shark,30.3194614,-81.3949948
USA,"St. Petersburg, Pinellas County",Swimming,N,"Bull shark, 4' to 5'",27.7700475,-82.6359078
USA,"Hugenot Beach , Jacksonville, Duval County",Swimming,N,Unknown,30.33218,-81.65565
USA,"Boca Raton, Palm Beach County",Teasing a shark,N,"Nurse shark, 2'",26.3586885,-80.0830984
USA,"Wailea Beach, Maui",Floating,N,Unknown,20.6825633,-156.4431133
NEW ZEALAND,Cormandel,Fishing,N,"Mako shark, 1.5 m [5']",-42.0,174.0
INDONESIA,Balian,Surfing,N,"Bull shark, 6'",-3.7036567,105.2347983
AUSTRALIA,"First Sun Beach, Byron Bay",Swimming,N,Wobbegong shark,-28.64201,153.61194
FRENCH POLYNESIA,Makemo Atoll,Spearfishing,M,"Grey reef shark, 2 m",-16.59836,-143.72349
USA,"Off Singer Island, Palm Beach County",Spearfishing,N,"Bull shark, 7'",26.78506,-80.03754
NEW CALEDONIA,Poe Beach,Walking,Y,"Tiger shark, 2.5 m",-21.609463,165.3887201
USA,"Corners Beach, Jupiter, Palm Beach County",SUP,N,Unknown,26.93422,-80.09421
USA,"Olowalu, Maui",Snorkeling,N,Unknown,20.811858,-156.6221108
AUSTRALIA,Bombo Beach,Surfing,N,Unknown,-34.6593009,150.8545167
USA,"Fort Myers Beach, Lee County",,N,Shark involvement not confirmed,26.4520248,-81.948145
AUSTRALIA,North Cronulla Beach,Surfing,N,Unknown,-34.0509222,151.156332
USA,"Bolsa Chica State Park, Orange County",Surfing,N,Shark involvement not confirmed,33.67691,-117.77617
USA,"Vero Beach, St. Lucie County",Body surfing,N,Unknown,27.5562652,-80.3237204
Fiji,Dawara,Diving for beche-de-mer,Y,Unknown,-16.7995966,179.0105107
AUSTRALIA,Wrights Bay,Fishing,N,Bronze whaler,-42.42748,145.50797
BRAZIL,Escalerio Beach Balneário Camboriú,Swimming,N,Sandtiger shark,-26.99056,-48.63472
NEW CALEDONIA,"Ricaudy Reef, Noumea",Kite surfing,N,Unknown,-22.27631,166.4572
NEW CALEDONIA,Yate,Spearfishing,N,Unknown,-22.1593698,166.9442699
DOMINICAN REPUBLIC,"Bavaro Beach, Punta Cana",Wading,N,Unknown,18.6840253,-68.419072
CAYMAN ISLANDS,Stingray City Bar,Feeding stingrays?,N,No shark involvement,19.3757,-81.3048
AUSTRALIA,Nettley Bay,Surfing,N,No shark involvement,-40.9338278,144.6359686
AUSTRALIA,Stradbroke Island,Walking,N,Unknown,-27.8357175,153.4192648
AUSTRALIA,Hams Beach,Windsurfing,N,Unknown,-33.1041,151.6568
BRAZIL,Estaleirinho beach,Swimming,N,Sandtiger shark,-10.0,-55.0
USA,"Hanalei Bay, Kauai, ",Surfing,N,Unknown,22.20889,-159.50709
USA,Off Surfside,Spearfishing,N,Bull sharks x 2,25.87843,-80.1256
UNITED ARAB EMIRATES,35 miles off Fujairah,Fishing,N,Mako shark,25.11641,56.34141
AUSTRALIA,"Happy Valley Beach, Caloundra",Surfing,N,Wobbegong shark,-26.806504,153.1383121
AUSTRALIA,Heron Island,Wading,N,Blacktip shark,-36.0782926,148.6346977
AUSTRALIA,Miall Island,Spearfishing,N,3 m shark,-23.1527477,150.9054624
SOUTH AFRICA,Westbrook Beach,Fishing,N,"White shark, 3 m",-29.0,24.0
SPAIN,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,N,"Silky shark, 6.5'",28.11654,-15.43898
USA,La'aloa Beach Park,Paddle boarding,N,9' shark,42.42224,-87.8573
AUSTRALIA,Bondi Beach,Surfing,N,"Bronze whaler shark, 6'",-33.8906977,151.2724119
BRAZIL,Fernano de Noronha,Scuba diving,N,"Tiger shark, 1.5 m",-10.0,-55.0
ARUBA,Boat capsized,Sea disaster,Y,Unknown,12.5,-69.96667
BAHAMAS,Off Andros Island,Lobster fishing,N,Bull shark,24.43333,-77.95
SOUTH AFRICA,Mpande,Swimming / Wading,N,Unknown,-31.7585834,29.3474128
ECUADOR,"Punta Vicente Roca, Isabella Island",Snorkeling,N,Galapagos shark,-1.25,-78.25
USA,"Palm Beach, Palm Beach County",Swimming,N,Unknown,26.7056172,-80.0361517
AUSTRALIA,East Ballina,Surfing,N,"Bull shark, 2.8 to 3.1 m",-28.8595562,153.5832729
USA,"Paradise Beach, Melbourne, Brevard County",Surfing,N,Shark involvement not confirmed,28.123032,-80.5753769
USA,"Kehena Beach, Hawaii",Swimming,N,Unknown,19.3933649,-154.9304477
MOZAMBIQUE,Maxixe,Fishing,N,Unknown,-23.861561,35.348934
AUSTRALIA,Bald Island,Spearfishing,N,Unknown,-34.9206217,118.4681303
SOUTH AFRICA,Stil Bay,Surfing,N,"White shark, 3 to 3.5m",-29.0,24.0
USA,"Deerfield Beach, Broward County",Surfing,N,"Spinner shark, 5'",26.318342,-80.0996306
MOZAMBIQUE,"Nahaduga, Inhambane Bay",Fishing for shrimp,Y,Unknown,-18.25,35.0
USA,"Waikiki, ",Surfing,N,No shark involvement,21.2793568,-157.8285713
USA,"Lanikai Beach, Kailua, Oahu",Swimming,N,"Tiger shark, 7'",41.560174,-89.461597
USA,"Off Leffingwell Landing, San Luis Obispo County",Fishing,N,Hammerhead sp.,35.38742,-120.4522
USA,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,N,Unknown,32.21632,-80.75261
USA,"Leftovers, Oahu",Surfing,N,"Tiger shark, 13'",38.882352,-105.937359
MOZAMBIQUE,"Maxixe, Inhambane Bay",Fishing,N,Unknown,-18.25,35.0
AUSTRALIA,Pyramids Beach,Surfing,N,Unknown,-32.6114746,115.6271384
USA,"Pepper Park Beach, St. Lucie County",Body boarding,N,Unknown,27.38081,-80.44554
USA,"Vilano Beach, St.  Johns County",Surfing,N,"Blacktip shark, 5' to 6'",29.9188576,-81.2928499
AUSTRALIA,"Russel Island, Frankland Group",Snorkeling,N,Unknown,-25.0,135.0
USA,"Horseshoe Rock, Santa Barbara County",Kayak fishing,N,"White shark, 19'",34.53834,-120.03078
USA,"Upolu Point, North Kohala, Big Island",Spearfishing,N,"Tiger shark, 13'",37.53375,-79.35975
USA,"Fernandina Beach, Amelia Island, Nassau County",Wading,N,4' shark,30.60774,-81.46009
USA,"Gaviota State Beach, Santa Barbara County",Kayak Fishing,N,Hammerhead shark,34.53834,-120.03078
USA,"Big Talbot Island, Duval County",Swimming,N,Unknown,30.4835724,-81.4400884
AUSTRALIA,North Shelly Beach,Surfing,N,6' shark,-33.3661513,151.4933433
USA,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,N,"White shark, 11' to 12'",34.19801,-118.26102
USA,"Deer Creek Beach, Ventura County",Kayak Fishing,N,Hammerhead shark.,34.35753,-119.12603
AUSTRALIA,Hallidays Point,Surf-skiing,N,"White shark, 2.5 m",-32.0713889,152.5019444
THAILAND,Karon Beach,Wading,N,small shark,7.8439574,98.2934247
USA,"Morro Strand State Beach, San Luis Obispo County",Surfing,N,"White shark, 11' to 12'",35.42775,-120.88296
USA,"Morro Bay, San Luis Obispo County",Surfing,N,"White shark, 10' to 12'",35.3658075,-120.849901
USA,"Murrells Inlet, Georgetown County",Surfing,N,4' shark,33.5499183,-79.0430329
USA,Santa Barbara County,Kayak Fishing,N,"White shark, 13'",34.7136533,-119.985823
SPAIN,"Poniente Beach, Benidorm",Swimming,N,Shark involvement not confirmed,38.5321187,-0.1577835
USA,Cortes Bank,Spearfishing,N,Hammerhead shark. 6' to 7',39.232158,-76.588948
COSTA RICA,Playa Grande,Surfing,N,Unknown,10.3340525,-85.847534
AUSTRALIA,Tyrendarra Beach,Surfing,N,Unknown,-33.27443,151.54614
USA,"Edisto Beach, Colleton County",Floating,N,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",32.4793551,-80.3348229
AUSTRALIA,"Lachan Island, Mercury Passage",Scallop diving on hookah,Y,"White shark, 3.9 to 4.2 m",-27.6652673,153.3868525
USA,"La Jolla, San Diego County",Kayak Fishing,N,"Mako shark, 100-lb",31.00047,-92.0004
AUSTRALIA,Tyrendarra Beach near Portland,Surfing,N,"Bronze whaler shark, 1.5m",-38.35261,141.60574
REUNION,St. Leu,Surfing,N,"Bull shark, 2m",-21.1677694,55.2881932
BAHAMAS,"Port Lucaya, Freeport",Spearfishing,N,6' shark,26.5129109,-78.6420101
USA,"Off Surf City, Pender County",,N,Unknown,34.42711,-77.54608
USA,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,N,6' to 7' shark,35.41004,-76.1485
AUSTRALIA,"Flat Rock, Yamba",Surfing,N,Unknown,-33.9349552,151.1093402
USA,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,N,4' to 5' shark,32.7867763,-79.7857926
SOUTH AFRICA,Buffels Bay near Knysna,Body Boarding,N,White shark,-34.03627,23.04713
SOUTH AFRICA,"Lookout Beach, Plettenberg Bay",Surfing,N,"White shark, 2m to 3 m",-34.045853,23.3801427
USA,"South Beach, Hunting Island State Park, Beaufort County",Standing,N,4' shark,32.36575,-80.46566
USA,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,N,Unknown,35.56685,-75.46849
USA,Surf City,Swimming,N,Sandtiger shark,39.6587349,-74.168292
AUSTRALIA,Denmark,Surfing,N,White shark,-34.9604365,117.3551157
USA,"St. Helena Island, Beaufort County",Standing,N,small shark,32.3868607,-80.5606622
PUERTO RICO,Off Cabo Rojo,Spearfishing,N,Unknown,18.08663,-67.14573
USA,Daytona Beach Shores,Swimming,N,Unknown,29.1760933,-80.9828323
USA,Off San Diego,,N,Mako shark,32.71533,-117.15726
USA,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,N,"Bull shark, 5'",28.3365822,-80.6085123
USA,Fort Lauderdale,Attempting to rescue a shark,N,small nurse shark,26.1223084,-80.1433786
REUNION,Folette,Surfing,N,"Bull shark, 2.5 m",-20.9348462,55.3043321
FRENCH POLYNESIA,Avatoru Pass,Spearfishing,N,1m to 1.2 m shark,-14.9397476,-147.7122831
NEW CALEDONIA,Kouare ,Snorkeling,Y,"Bull shark, 3.5 m",-21.671944,166.0735152
AUSTRALIA,Saltwater Beach,Surfing,N,White shark,-32.0176315,152.5556329
SOUTH AFRICA,Port St. John's,Diving,N,"White shark, 3.5 m",-31.62291,29.54477
USA,Kanahena Cove ,Snorkeling,Y,Unknown,29.82744,-94.80242
USA,"Resident's Beach, Marco Island",Wading,N,3- to 4-foot shark,25.9351352,-81.733757
AUSTRALIA,Fishery Bay,Surfing,N,"White shark, 6 m",-34.914731,135.6858884
AUSTRALIA,"Belongil Beach, Byron Bay",Surf skiing ,N,"White shark, 3 m",-28.6155104,153.5837115
REUNION,Cap Homard,Surfing,Y,Bull shark,-21.3572438,55.5134892
AUSTRALIA,McKenzies Beach,Paddle boarding,N,Unknown,-35.7985,150.2179
USA,"3 miles off Jupiter, Palm Beach County",Spearfishing,N,Bull shark,26.93422,-80.09421
BRAZIL,"Praia del Chifre, Olinda",Surfing,N,No shark involvement,-8.0307622,-34.8610139
SOUTH AFRICA,Yellow Sands Point,Kayak Fishing,N,"White shark, 4 m",-29.87038,31.04565
USA,Hapuna Beach,Standing / Snorkeling,N,"Tiger shark, 8 to 12 feet",19.9922472,-155.8257564
FRENCH POLYNESIA,Anau,Hand feeding sharks,N,Blacktip shark,-16.5209986,-151.7028741
AUSTRALIA,"Julian Rocks, Byron Bay",Fishing,N,Unknown,-28.6115303,153.6288827
MEXICO,Mazlatan,Fishing,N,Unknown,23.0,-102.0
FRENCH POLYNESIA,"Tupapati, Hikueru Atoll",Sitting in the water,N,Blacktip Reef shark,-15.0,-140.0
REUNION,Ravine Mula,Swimming,Y,"Tiger shark, 3.5 m",-21.10084,55.60344
AUSTRALIA,Shelly Beach,Surfing,Y,3.5 to 4 m shark,-26.796302,153.1454155
AUSTRALIA,"Seven Mile Beach, Byron Bay",Surfing,N,2 m to  3 m shark,-28.64201,153.61194
AUSTRALIA,Mereweather Beach,Bodysurfing,N,1.8 m shark,-33.27443,151.54614
AUSTRALIA,"Nerang River, Surfer's  Paradise",Rowing,N,"Bull shark, 1.3 m",-28.00274,153.42999
USA,Lahaina,Shark fishing,N,4' shark,20.8738769,-156.677678
AUSTRALIA,Flat Rock,Surfing,N,Unknown,-27.3905174,153.5515696
SOUTH AFRICA,Nahoon Beach,Floating,N,Unknown,-32.9836698,27.9255609
USA,Off Panama City,Fishing,N,White shark,30.15946,-85.65983
AUSTRALIA,"Wategos Beach, Byon Bay",Surfing & filming dolphins,N,Shark involvement not confirmed,-25.0,135.0
AUSTRALIA,Off Blacksmith Beach,Fishing,N,5 m shark,-33.27443,151.54614
AUSTRALIA,"Mollymook Beach, Bannister Head",Filming,N,1.5 m shark,-25.0,135.0
BAHAMAS,"Tahiti Beach, Elbow Cay",Snorkeling,N,White shark or oceanic whitetip shark,26.48688,-76.98707
SOUTH AFRICA,Chintsa East Beach,Surfing,N,"Raggedtooth shark, 1.3 m",-33.59786,26.90536
USA,"Windsor Beach, Indian River County",,N,"""A small shark""",27.7871367,-80.4097395
AUSTRALIA,Bherwerre Beach,Surfing,N,2 m shark,-35.1736587,150.6087871
GREECE,33 nautical miles off Othonoi Island,,N,Shark involvement prior to death still to be determined,39.0,22.0
USA,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,N,"White shark, 8' to 10'",40.29867,-83.06797
AUSTRALIA,Paradise Beach,Fishing,N,1.5 m shark,-38.192086,147.421102
AUSTRALIA,Rudder Reef,Spearfishing,Y,Tiger shark,-32.3402095,149.5342115
SPAIN,Off Motril,Fishing for blue sharks,N,Unknown,36.75066,-3.5179
AUSTRALIA,"Pyramids Beach, Port Bouvard",Surfing,N,Unknown,-32.71894,115.63888
AUSTRALIA,Freo,Fishing,N,White shark,-21.6911153,148.6980445
USA,"Franklin Point, San Mateo County",,N,White shark,37.1498114,-122.360111
USA,"Indian Harbor Beach, Brevard County",Surfing,N,2' shark,28.1489365,-80.5868802
USA,"Airplane Beach, Lahina, West Maui",Snorkeling,N,1.5 m shark,43.221623,-96.486106
AUSTRALIA,Moonee Beach,Surfing,N,Unknown,-30.2059311,153.1521065
USA,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,N,Unknown,27.48282,-80.30533
USA,"North Kohala, Hawaii County",Surfing,N,"Tiger shark, 12'",20.13195,-155.79389
AUSTRALIA,Wallabi Point,Surfing,N,Unknown,-31.9902778,152.5633333
USA,"Kihei, Maui",Stand-Up Paddleboarding,N,Tiger shark,20.7476261,-156.4549898
USA,"Kahului, Maui",Stand-Up Paddleboarding,N,Unknown,20.89472,-156.47
USA,"Leadbetter Beach, Santa Barbara County",Canoeing,N,Unknown,34.40111,-119.6993
AUSTRALIA,"Castle Rock, north of Dunsborough",Kayaking,N,Unknown,-32.2328009,150.7837568
USA,"Cherie Down Park, Brevard County",Fishing,N,Unknown,28.3921357,-80.5969874
USA,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,N,8' to 10' shark,34.7483,-120.51817
AUSTRALIA,"Kelpids Beach, Wylie Bay, Esperance",Surfing,N,"2 white shark: 13' & 9""8""",-33.86013,121.88259
FRENCH POLYNESIA,Tiahura Lagoon,Feeding fish,N,Blacktip shark,-15.0,-140.0
USA,"Manresa State Beach, Santa Cruz County",Surfing,N,No shark involvement,36.92412,-121.85662
AUSTRALIA,"Clarkes Beach, Byron Bay",Swimming,Y,7' shark,-28.6397283,153.6273582
USA,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,N,Bull shark,30.25548,-88.10972
USA,"Manomet Point, Plymouth, Plymouth County",Kayaking ,N,"White shark, 12' to 14'",41.9265837,-70.5392325
USA,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,N,3' to 4' shark,27.08157,-80.39851
SPAIN,Salou,Playing with an air mattress,N,Unknown,41.0768193,1.1425336
USA,"Atlantic Beach, Duval County",,N,Shark involvement not confirmed,30.3344077,-81.398696
USA,Assateague National Seashore,Fishing,N,Unknown,44.234038,-83.723049
SPAIN,Benidorm,Swimming,N,small shark,38.5406255,-0.1290929
USA,"Figure Eight Island,  New Hanover County",Surfing,N,4' to 6' shark,34.2701077,-77.7580881
USA,"Surfside Beach, Horry  County",Standing,N,Unknown,33.6060031,-78.9730887
USA,Apalachicola Bay ,Fishing for sharks,N,"Bull shark, 4.5'",29.6729916,-84.9618537
USA,"Off Masonboro Island, New Hanover County",Kite boarding,N,4' shark,34.12545,-77.85804
AUSTRALIA,Gnaraloo,Spearfishing,N,reef shark,-23.9898596,113.4991223
USA,"3 to 4 miles west of Indian Pass, Gulf County",Standing,N,"Bull shark, 8'",29.69049,-85.26436
USA,"Hallandale Beach, Broward County",,N,Unknown,25.9812025,-80.148379
USA,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,N,"Bull shark, 5'",29.95465,-90.07507
USA,"South of Cocoa Beach, Brevard County",Surfing,N,Unknown,28.2814,-80.60644
USA,"Table Beach, Brevard County",Boogie boarding,N,Unknown,28.30031,-80.70121
SOUTH AFRICA,Muizenberg,Surfing,N,White shark,-34.0978389,18.4845708
USA,"Indialantic, Brevard County",Standing,N,Unknown,28.0911921,-80.5679875
SPAIN,"Teresita, Santa Cruz, Tenerife",Wading,N,Angel shark,28.473798,-16.2518696
USA,"Paia Bay, Maui",Swimming,N,6' to 8' shark,20.9202778,-156.386388
USA,Okaloosa Island,Swimming,N,4' shark,30.392096,-86.5930752
USA,"Masonboro Island, New Hanover County",Body surfing,N,Unknown,34.1254492,-77.8580398
USA,"Manhattan Beach, Los Angeles County",Swimming,N,"White shark, 7'",33.8897798,-118.3935254
USA,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,N,Unknown,35.1123109,-120.6262599
ST. MARTIN,20 miles from shore,Transatlantic Rowing,N,Oceanic whitetip shark',45.16528,5.76337
AUSTRALIA,"Middleton Point, Fleurieu Peninsula",Surfing,N,Unknown,-35.5,138.5
AUSTRALIA,Horizontal Falls,Petting a shark,N,"Lemon shark, 3.5 m",-16.3789278,123.9595243
BRAZIL,500 km off the coast of Pernambuco,Fishing,N,Unknown,-8.33333,-37.75
USA,"Cape Henlopen State Park, Sussex County",Standing,N,"Sandbar shark, 3' to 4'",38.76678,-75.09546
AUSTRALIA,"Parsons Beach,  Fleurieu Peninsula",Body boarding,N,"Bronze whaler shark, 1.5m",-34.7276608,137.4958145
JAPAN,Aichi,Surfing,N,Unknown,34.9991645,137.254574
USA,"West Beach, Galveston",Kneeling in the water,N,Unknown,29.1570892,-95.0121979
AUSTRALIA,"Seven Mile Beach, Gerroa",Surfing,N,Unknown,-34.8370606,150.7539819
AUSTRALIA,Nerang River near Chevron Island,Fell into the water,N,"Bull shark, 1.2m",-27.99694,153.42
FRANCE,Wallis Island,Scuba diving,N,3m shark,-13.2846405,-176.2066568
AUSTRALIA,The Australian Shark and Ray Centre,Teasing a shark,N,"Tawney nurse shark, 1m",-25.0,135.0
USA,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,N,Unknown,40.29867,-83.06797
AUSTRALIA,"Elliston, Eyre Peninsula",Surfing,N,"white shark, 15'",-34.33333,135.75
USA,"Bethel Shoals, Indian River County",Diving,N,No shark involvement,27.69639,-80.57409
USA,"Coligny Beach, Hilton Head, Beaufort County",Swimming,N,4' to 5' shark,32.1600053,-80.7208796
SOUTH AFRICA,Simonstown,Diving,N,Cow shark,-34.1913607,18.4275705
AUSTRALIA,"South Passage, south of Coral Bay",Spearfishing,N,reef shark?,-20.34781,148.9624242
